"","Name","Tm","Week","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Jack Doyle","IND",1,4,3,35,2,15.5,15.5,2016
"3","Julius Thomas","JAC",1,5,5,64,1,12.4,12.4,2016
"4","Dwayne Allen","IND",1,6,4,53,1,11.3,11.3,2016
"5","Eric Ebron","DET",1,5,5,46,1,10.6,10.6,2016
"6","Austin SeferianJenkins","TB",1,1,1,30,1,9,9,2016
"7","Larry Donnell","NYG",1,2,1,15,1,7.5,7.5,2016
"8","Travis Kelce","KC",1,7,6,74,0,7.4,7.4,2016
"9","Vance McDonald","SF",1,3,2,14,1,7.4,7.4,2016
"10","Greg Olsen","CAR",1,9,7,73,0,7.3,7.3,2016
"11","Jason Witten","DAL",1,14,9,66,0,6.6,6.6,2016
"12","Kyle Rudolph","MIN",1,8,4,65,0,6.5,6.5,2016
"13","Brandon Myers","TB",1,1,1,4,1,6.4,6.4,2016
"14","Jordan Reed","WAS",1,11,7,64,0,6.4,6.4,2016
"15","CJ Uzomah","CIN",1,5,2,59,0,5.9,5.9,2016
"16","Zach Ertz","PHI",1,7,6,58,0,5.8,5.8,2016
"17","Jacob Tamme","ATL",1,8,6,51,0,5.1,5.1,2016
"18","Marcedes Lewis","JAC",1,2,2,48,0,4.8,4.8,2016
"19","Delanie Walker","TEN",1,5,3,42,0,4.2,4.2,2016
"20","Jermaine Gresham","ARI",1,4,4,41,0,4.1,4.1,2016
"21","Charles Clay","BUF",1,3,2,40,0,4,4,2016
"22","Dennis Pitta","BAL",1,4,3,39,0,3.9,3.9,2016
"23","Jesse James","PIT",1,7,5,31,0,3.1,3.1,2016
"24","Cameron Brate","TB",1,4,3,30,0,3,3,2016
"25","Virgil Green","DEN",1,5,4,28,0,2.8,2.8,2016
"26","Luke Willson","SEA",1,4,2,26,0,2.6,2.6,2016
"27","Stephen Anderson","HOU",1,3,3,25,0,2.5,2.5,2016
"28","Clive Walford","OAK",1,5,3,25,0,2.5,2.5,2016
"29","Richard Rodgers","GB",1,3,1,22,0,2.2,2.2,2016
"30","Geoff Swaim","DAL",1,1,1,21,0,2.1,2.1,2016
"31","Vernon Davis","WAS",1,1,1,20,0,2,2,2016
"32","Antonio Gates","SD",1,4,3,20,0,2,2,2016
"33","Demetrius Harris","KC",1,3,2,20,0,2,2,2016
"34","Hunter Henry","SD",1,2,1,20,0,2,2,2016
"35","Ryan Griffin","HOU",1,2,2,17,0,1.7,1.7,2016
"36","Will Tye","NYG",1,3,3,16,0,1.6,1.6,2016
"37","Garrett Celek","SF",1,4,1,15,0,1.5,1.5,2016
"38","Lance Kendricks","LAR",1,3,2,15,0,1.5,1.5,2016
"39","Martellus Bennett","NE",1,5,3,14,0,1.4,1.4,2016
"40","Austin Hooper","ATL",1,1,1,14,0,1.4,1.4,2016
"41","Zach Miller","CHI",1,4,3,14,0,1.4,1.4,2016
"42","Brent Celek","PHI",1,1,1,11,0,1.1,1.1,2016
"43","Jimmy Graham","SEA",1,1,1,11,0,1.1,1.1,2016
"44","Malcolm Johnson","CLE",1,2,2,9,0,0.9,0.9,2016
"45","Jared Cook","GB",1,2,1,7,0,0.7,0.7,2016
"46","Jordan Cameron","MIA",1,3,2,6,0,0.6,0.6,2016
"47","CJ Fiedorowicz","HOU",1,2,1,6,0,0.6,0.6,2016
"48","Coby Fleener","NO",1,4,1,6,0,0.6,0.6,2016
"49","Crockett Gillmore","BAL",1,1,1,5,0,0.5,0.5,2016
"50","Cole Wick","DET",1,1,1,5,0,0.5,0.5,2016
"51","Tyler Higbee","LAR",1,4,1,2,0,0.2,0.2,2016
"210","Gary Barnidge","CLE",1,2,0,0,0,0,0,2016
"310","Kellen Davis","NYJ",1,0,0,0,0,0,0,2016
"410","Nick OLeary","BUF",1,1,0,0,0,0,0,2016
"52","Logan Paulsen","CHI",1,1,0,0,0,0,0,2016
"61","Ross Travis","KC",1,1,0,0,0,0,0,2016
